electrode_id,x_um,y_um,rms_uV,ptp_uV,peak_uV,latency_ms,duration_ms,ttmin_ms,ttmax_ms,delay_ms,speed_ms,filter,t_pre_s,t_post_s
0,-4464.0,-7000.0,1378.4476943198054,8095.448564581819,4273.5366667034095,3.0666666666666673,5.366666666666667,4.466666666666667,6.633333333333334,5.466667085714583,51.64647600060895,No filter,0.001,0.02
1,-2737.834017250948,-7000.0,1644.2154902745679,9595.851204526014,5385.31580544889,3.2000000000000006,5.599999999999998,4.466666666666667,6.666666666666667,5.466667085714583,10.355884254342213,No filter,0.001,0.02
2,-1011.6680345018963,-7000.0,1920.2011467329512,11021.04231842846,6470.222510510006,3.266666666666667,5.999999999999999,4.466666666666667,6.7,5.466667085714583,4.688288338522059,No filter,0.001,0.02
3,714.4979482471554,-7000.0,2004.872576308477,11366.382313950984,6830.704890918341,3.233333333333334,6.166666666666669,4.4,6.7,5.400000413937576,3.971663665225294,No filter,0.001,0.02
4,2440.6639309962075,-7000.0,1905.1844356822567,10775.779461680293,6435.938561466581,3.233333333333334,6.099999999999999,4.4,6.7,5.400000413937576,6.460246402671317,No filter,0.001,0.02
5,4166.82991374526,-7000.0,1664.1949063459517,9372.065777594482,5333.381117224715,3.266666666666667,5.999999999999999,4.433333333333334,6.7,5.43333374982608,8.512780543175168,No filter,0.001,0.02
6,-4464.0,-5273.834017250948,1198.1575835741526,6918.705088607412,3545.265789183815,2.9000000000000004,5.500000000000002,4.500000000000001,6.666666666666667,5.5000004216030876,12.9440743836509,No filter,0.001,0.02
7,-2737.834017250948,-5273.834017250948,1266.020666289481,7246.3126274606475,3653.5187603467703,3.033333333333333,5.6,4.633333333333334,6.733333333333333,5.633333765157101,10.355884254342213,No filter,0.001,0.02
8,-1011.6680345018963,-5273.834017250948,1511.7396223403427,8510.758268139718,4407.718814822051,3.2000000000000006,5.999999999999999,4.833333333333334,6.833333333333335,5.833333780488123,11.23232096228413,No filter,0.001,0.02
9,714.4979482471554,-5273.834017250948,1682.861529876081,9469.892290833202,5194.21229357952,3.233333333333334,6.133333333333332,4.833333333333334,6.866666666666668,5.833333780488123,6.5500578049401526,No filter,0.001,0.02
10,2440.6639309962075,-5273.834017250948,1647.3140098600613,9121.12651417147,5038.005802471953,3.2000000000000006,6.133333333333332,4.666666666666667,6.866666666666668,5.666667101045604,6.410555562041502,No filter,0.001,0.02
11,4166.82991374526,-5273.834017250948,1484.2031087745156,8271.902150257893,4497.612495525052,3.2000000000000006,5.966666666666666,4.633333333333334,6.800000000000001,5.633333765157101,12.55772047208854,No filter,0.001,0.02
12,-4464.0,-3547.6680345018963,1019.7274475364416,5843.213756926963,3167.126141275147,2.7,7.300000000000002,4.466666666666667,6.566666666666666,5.466667085714583,51.64647600060964,No filter,0.001,0.02
