electrode_id,x_um,y_um,rms_uV,ptp_uV,peak_uV,latency_ms,duration_ms,ttmin_ms,ttmax_ms,delay_ms,speed_ms,filter,t_pre_s,t_post_s
0,-4464.0,-7000.0,37.28741650247396,177.68811293892048,124.53160233576908,3.7666666666666675,6.533333333333333,8.066666666666666,5.566666666666666,9.066667361672968,0.4616303223441407,IB2,0.001,0.015
1,-2737.834017250948,-7000.0,118.96446708726822,669.8528241421737,473.8947421011029,3.4666666666666663,3.8666666666666667,4.4,5.966666666666667,5.400000413937576,0.7841704357925183,IB2,0.001,0.015
2,-1011.6680345018963,-7000.0,202.4086204401353,1143.3195008935165,829.3410721719779,3.4333333333333336,3.700000000000001,4.333333333333334,5.866666666666667,5.333333742160569,1.6086826561692658,IB2,0.001,0.015
3,714.4979482471554,-7000.0,214.7806952787849,1255.10900583774,854.673159734357,3.266666666666667,3.6333333333333337,4.166666666666667,5.733333333333333,5.166667062718051,1.6650727062737383,IB2,0.001,0.015
4,2440.6639309962075,-7000.0,182.40978729525224,1115.5190882170268,692.2426246508809,3.266666666666667,3.5000000000000004,4.166666666666667,5.666666666666667,5.166667062718051,1.9176262202088104,IB2,0.001,0.015
5,4166.82991374526,-7000.0,55.4713643003894,284.4895408619601,196.540168363909,3.1666666666666665,6.699999999999999,4.133333333333334,5.433333333333334,5.133333726829547,1.916640892339858,IB2,0.001,0.015
6,-4464.0,-5273.834017250948,34.7520707903028,178.7539974369148,143.77482662911305,2.766666666666667,7.5,8.799999999999999,4.4,9.800000751220045,0.43397042747123055,IB2,0.001,0.015
7,-2737.834017250948,-5273.834017250948,80.59142592583659,526.6432633361496,312.22287872985737,3.4666666666666663,4.1000000000000005,5.566666666666666,4.266666666666667,6.5666671700352,0.8863788496119227,IB2,0.001,0.015
8,-1011.6680345018963,-5273.834017250948,213.02882965824259,1178.8246620356326,850.1615462048443,3.566666666666667,4.866666666666667,5.4,4.133333333333334,6.400000490592683,1.8793594020896507,IB2,0.001,0.015
9,714.4979482471554,-5273.834017250948,237.69835644501686,1329.5979806236064,947.7987919781647,3.6,4.966666666666667,5.200000000000001,6.833333333333335,6.200000475261661,1.9202612088619195,IB2,0.001,0.015
10,2440.6639309962075,-5273.834017250948,152.45229236675343,826.6448647246904,522.3682676817859,4.033333333333333,5.000000000000001,5.066666666666667,6.800000000000001,6.066667131707647,2.19124077726944,IB2,0.001,0.015
11,4166.82991374526,-5273.834017250948,67.11694379478557,417.1553234522229,215.19099707150622,3.5333333333333337,6.500000000000002,5.033333333333333,6.4,6.033333795819144,1.9527527079221747,IB2,0.001,0.015
12,-4464.0,-3547.6680345018963,20.024942418327402,96.76339248982285,65.20729170922682,0.4333333333333333,10.633333333333331,3.4333333333333336,5.1000000000000005,4.433333673170973,0.5900581571709907,IB2,0.001,0.015
13,-2737.834017250948,-3547.6680345018963,72.692439205869,413.37612598259597,279.59098532956284,3.6333333333333337,4.066666666666667,6.3,4.933333333333334,7.300000559582279,1.0578268168716556,IB2,0.001,0.015
14,-1011.6680345018963,-3547.6680345018963,136.30278248131245,793.5445265461167,484.64284821546346,3.4666666666666663,5.633333333333334,6.133333333333334,4.566666666666666,7.1333338801397606,2.2835701651245306,IB2,0.001,0.015
15,714.4979482471554,-3547.6680345018963,225.30730252516602,1198.7205411222558,891.8754854618489,3.6,5.333333333333335,5.933333333333334,4.333333333333334,6.93333386480874,2.4243749269622965,IB2,0.001,0.015
16,2440.6639309962075,-3547.6680345018963,185.65342011177097,952.0354840629711,696.117519884125,3.7,5.533333333333333,5.733333333333333,7.566666666666666,6.733333849477718,2.250977434535111,IB2,0.001,0.015
17,4166.82991374526,-3547.6680345018963,84.88444625155779,457.285955089235,308.1278593089089,3.5333333333333337,5.1,5.9,4.4,6.900000528920237,1.9928277130489518,IB2,0.001,0.015
18,-4464.0,-1821.5020517528446,25.674066816196657,119.09313038102673,76.98851222683213,-1.0,12.800000000000002,7.633333333333333,5.800000000000001,8.63333399512242,0.8321766953864418,IB2,0.001,0.015
19,-2737.834017250948,-1821.5020517528446,51.242326594610354,260.8817422953801,198.7259013841905,3.5000000000000004,5.566666666666666,7.400000000000001,5.866666666666667,8.400000643902896,2.2874655801686266,IB2,0.001,0.015
20,-1011.6680345018963,-1821.5020517528446,104.51985909642536,570.7116451568163,311.9000336634007,3.4000000000000004,4.966666666666668,6.866666666666668,5.166666666666667,7.86666726968684,2.156761384862842,IB2,0.001,0.015
21,714.4979482471554,-1821.5020517528446,148.1957317531525,852.6026073945789,474.4669426044942,3.6,5.233333333333335,6.566666666666666,5.0,7.566667246690307,2.538950946974125,IB2,0.001,0.015
22,2440.6639309962075,-1821.5020517528446,192.44339659053745,1060.458526139194,731.7866917683343,3.8000000000000003,5.533333333333332,6.6,5.133333333333334,7.600000582578811,2.425864116038151,IB2,0.001,0.015
23,4166.82991374526,-1821.5020517528446,100.15472953246766,522.4265634860549,345.5098962039785,3.8333333333333335,5.600000000000001,6.733333333333333,5.033333333333333,7.7333339261328256,4.145675924224423,IB2,0.001,0.015
24,-4464.0,-95.33606900379255,,,,,,,,,,IB2,0.001,0.015
25,-2737.834017250948,-95.33606900379255,,,,,,,,,,IB2,0.001,0.015
26,-1011.6680345018963,-95.33606900379255,47.00839228401313,246.75365976705115,176.1736359664787,3.333333333333333,6.200000000000002,7.500000000000001,6.0,8.500000651568408,1.9558840489116345,IB2,0.001,0.015
27,714.4979482471554,-95.33606900379255,98.78126352359567,559.4611699517629,324.62720476414796,3.5333333333333337,5.4333333333333345,7.266666666666667,5.866666666666667,8.266667300348882,1.6998377652418393,IB2,0.001,0.015
28,2440.6639309962075,-95.33606900379255,,,,,,,,,,IB2,0.001,0.015
29,4166.82991374526,-95.33606900379255,,,,,,,,,,IB2,0.001,0.015
30,-2737.834017250948,1630.8299137452595,,,,,,,,,,IB2,0.001,0.015
31,-1011.6680345018963,1630.8299137452595,34.52140336965354,155.29962131892978,103.57205546649094,4.433333333333334,6.1333333333333355,8.6,6.1000000000000005,9.600000735889024,1.5515298461453122,IB2,0.001,0.015
32,714.4979482471554,1630.8299137452595,40.93659041228482,179.1709288134045,113.47807806967346,2.2,8.433333333333334,8.566666666666666,6.200000000000001,9.566667400000522,1.3069326484822177,IB2,0.001,0.015
33,2440.6639309962075,1630.8299137452595,,,,,,,,,,IB2,0.001,0.015
